FirstClass,SecondClass,ThirdClass,Female,AgeMissing,Child,Adult,Elderly,IsSolo,IsCouple,IsTriplet,IsGroup,HasChild,HasElderly,NoAges,Survived
0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0
0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1
0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1
0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,1
1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1
0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0
0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0
0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1
0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0
0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1
0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0
0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,1
0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0
0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1
1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0
0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1
0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,1
0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1
0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,1
0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0
1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1
0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0
0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1
0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0
0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0
0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1
0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0
0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,1
0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0
0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0
0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1
1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1
0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1
0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1
0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0
0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1
1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0
1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1
0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1
0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1
0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0
0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0
0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1
0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1
0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1
0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,1
1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1
0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1
0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0
0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1
0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0
0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0
0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
