"","adhd","divorced","drug abuse","lost job","parents divorced","shop lifting","tax debt","violent crime"
"1",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"2",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
"3",FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
"4",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"5",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"6",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
"7",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"8",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
"9",FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
"10",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
